NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;FASE;TURMA;SINALIZADOR_INGRESSANTE;IDADE_ALUNO;GÊNERO;PEDRA;ATINGIU_PV;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;IPV;IAN;NIVEL_IDEAL;DEFASAGEM
ALUNO-1;2021;Rede Decisão;Escola Privada;Escola Privada;2;G;Ingressante;12;INFO INDISPONÍVEL;Ametista;MANTIDO;7.32;7.5;6.3;6.9;8.8;7.7;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.1;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-3;2021;Escola Pública;Escola Pública;Escola Pública;3;F;Veterano;13;INFO INDISPONÍVEL;Ametista;MANTIDO;7.02;7.1;6.9;6.3;5.6;7.3;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;7.2;10;NÃ­vel 3 (7o e 8o ano);0.0
ALUNO-5;2021;Escola Pública;Escola Pública;Escola Pública;2;L;Veterano;11;INFO INDISPONÍVEL;Ametista;MANTIDO;7.40;7.4;7.5;7.5;5.4;8.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.4;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-8;2021;Rede Decisão;Escola Privada;Escola Privada;5;L;Veterano;15;INFO INDISPONÍVEL;Topázio;AVANÇO;8.27;8.8;8.6;7.5;7.1;8.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;8.5;10;NÃ­vel 5 (1o EM);0.0
ALUNO-11;2021;Rede Decisão;Escola Privada;Escola Privada;1;A;Veterano;9;INFO INDISPONÍVEL;Topázio;MANTIDO;8.99;9.0;10.0;6.3;8.8;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;9.7;10;NÃ­vel 1 (4o ano);0.0
ALUNO-13;2021;Escola Pública;Escola Pública;Escola Pública;0;T;Ingressante;9;INFO INDISPONÍVEL;Quartzo;INGRESSANTE;3.41;8.0;0.0;7.5;0.8;0.0;NÃ£o avaliado;NÃ£o avaliado;NÃ£o avaliado;NÃ£o avaliado;6.0;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-17;2021;Escola Pública;Escola Pública;Escola Pública;1;G;Veterano;14;INFO INDISPONÍVEL;Ágata;QUEDA;6.14;9.5;4.2;7.5;2.6;8.4;NÃ£o avaliado;Mantido na Fase atual;Mantido na Fase + Bolsa;NÃ£o avaliado;8.8;5;NÃ­vel 3 (7o e 8o ano);-2.0
ALUNO-18;2021;Escola Pública;Escola Pública;Escola Pública;4;F;Veterano;15;INFO INDISPONÍVEL;Ágata;MANTIDO;5.67;10.0;3.3;6.3;5.3;7.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;5.2;5;NÃ­vel 5 (1o EM);-1.0
ALUNO-19;2021;Escola Pública;Escola Pública;Escola Pública;2;C;Ingressante;12;INFO INDISPONÍVEL;Ágata;INGRESSANTE;6.75;9.0;6.3;7.5;4.6;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;8.3;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-28;2021;Rede Decisão;Escola Privada;Escola Privada;4;G;Ingressante;14;INFO INDISPONÍVEL;Topázio;MANTIDO;9.08;8.3;9.2;7.5;8.8;9.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;9.9;10;NÃ­vel 4 (9o ano);0.0
