NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;RA;FASE;TURMA;Ano nasc;IDADE_ALUNO;GÊNERO;Ano ingresso;Pedra 20;Pedra 21;PEDRA;INDE;ATINGIU_PV;STATUS_PEDRA;TESTE;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Matem;Portug;Inglês;Indicado;Atingiu PV;IPV;IAN;FASE IDEAL;DEFASAGEM;Destaque IEG;Destaque IDA;Destaque IPV
Aluno-1;2022;Escola Pública;Escola Pública;Escola Pública;RA-1;7;A;2003;19;Feminino;2016;Ametista;Ametista;Quartzo;5,783;QUEDA;QUEDA;OK;753;18;10;4;Avaliador-5;Mantido na Fase atual;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Mantido na Fase atual;8,3;4,1;5,6;7,97;Requer avaliação;4;2,7;3,5;6;Sim;Não;7,278;5;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-10;2022;Escola Pública;Escola Pública;Escola Pública;RA-10;7;A;2004;18;Feminino;2021;;Ágata;Quartzo;5,784;QUEDA;QUEDA;OK;752;17;9;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8,3;5,2;5;6,72;Requer avaliação;4,1;3,3;2,6;6,4;Não;Não;7,056;5;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-100;2022;Rede Decisão;Escola Privada;Escola Privada;RA-100;4;A;2009;13;Feminino;2019;Ametista;Topázio;Ametista;7,618;QUEDA;QUEDA;OK;268;22;7;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,8;7,8;5;6,67;Não indicado;7,6;7;7,8;8,1;Não;Não;7,25;10;Fase 3 (7º e 8º ano);1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-101;2022;Escola Pública;Escola Pública;Escola Pública;RA-101;4;A;2007;15;Feminino;2021;;Ametista;Ametista;7,305;MANTIDO;MANTIDO;OK;387;31;8;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,3;7,5;6,04;Não atendido;7,6;7,2;6,5;9,2;Sim;Não;6,833;5;Fase 5 (1º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-102;2022;Escola Pública;Escola Pública;Escola Pública;RA-102;4;A;2008;14;Masculino;2019;Ametista;Ametista;Ágata;6,922;QUEDA;QUEDA;OK;519;43;9;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;6,7;7,7;6,9;6,88;Requer avaliação;5,7;4,7;6,8;5,5;Não;Não;6;10;Fase 4 (9º ano);0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-103;2022;Rede Decisão;Escola Privada;Escola Privada;RA-103;4;A;2009;13;Feminino;2020;Ágata;Ametista;Topázio;8,107;AVANÇO;AVANÇO;OK;114;11;4;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,7;7,5;8,44;Não atendido;7,3;7,3;7,3;7,3;Não;Não;7,708;10;Fase 3 (7º e 8º ano);1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-104;2022;Escola Pública;Escola Pública;Escola Pública;RA-104;4;A;2004;18;Masculino;2022;;;Ágata;6,315;INGRESSANTE;INGRESSANTE;OK;681;61;11;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;7,9;8,7;7,5;6,04;Não atendido;3,7;4,8;5,8;0,3;Não;Não;6,708;2,5;Fase 8 (Universitários);-4;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-105;2022;Rede Decisão;Escola Privada;Escola Privada;RA-105;4;A;2005;17;Masculino;2016;Ametista;Ametista;Ágata;6,846;QUEDA;QUEDA;OK;542;47;10;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,2;5,6;6,04;Requer avaliação;6,7;7,2;6,2;6,8;Não;Não;7,417;2,5;Fase 7 (3º EM);-3;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-106;2022;Rede Decisão;Escola Privada;Escola Privada;RA-106;4;A;2007;15;Feminino;2016;Topázio;Ametista;Ametista;7,973;MANTIDO;MANTIDO;OK;148;13;5;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;9,2;8;9,4;8,59;Sem limitações;7,4;7,8;7,2;7,2;Não;Sim;8,375;5;Fase 5 (1º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-107;2022;Escola Pública;Escola Pública;Escola Pública;RA-107;4;A;2007;15;Feminino;2018;Topázio;Ágata;Ágata;6,258;MANTIDO;MANTIDO;OK;693;63;12;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,5;6,4;7,5;7,97;Sem limitações;4,6;3,3;4,3;6;Sim;Não;6,5;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
