Nome Anonimizado;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;RA;FASE;TURMA;Data de Nasc;IDADE_ALUNO;GÊNERO;PEDRA;INDE;ATINGIU_PV;STATUS_PEDRA;TESTE;Ano ingresso;Pedra 20;Pedra 21;Pedra 22;Pedra 23;INDE 22;INDE 23;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Mat;Por;Ing;Indicado;Atingiu PV;IPV;IAN;FASE IDEAL;DEFASAGEM;Destaque IEG;Destaque IDA;Destaque IPV;Destaque IPV
Aluno-861;2023;Escola Pública;Escola Pública;Escola Pública;RA-861;0;A;6/17/2015;8;Feminino;Topázio;9,31095;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9,5;10;8,13;8,4375;;9,6;9,8;9,4;;;;8,92;10;ALFA (1° e 2° ano);0;;;;
Aluno-862;2023;Escola Pública;Escola Pública;Escola Pública;RA-862;0;A;5/31/2014;9;Masculino;Topázio;8,2212;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;8,5;9,1;8,14;7,5;;8,9;8,5;9,2;;;;8,585;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-863;2023;Escola Pública;Escola Pública;Escola Pública;RA-863;0;A;2/25/2016;7;Masculino;Quartzo;5,92975;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;7,6;3,14;5,9375;;6,3;7;5,5;;;;6,26;10;ALFA (1° e 2° ano);0;;;;
Aluno-864;2023;Escola Pública;Escola Pública;Escola Pública;RA-864;0;A;03/12/2015;8;Feminino;Ametista;7,034;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;7,6;8,14;7,5;;6,3;7;5,5;;;;8,5;10;ALFA (1° e 2° ano);0;;;;
Aluno-865;2023;Escola Pública;Escola Pública;Escola Pública;RA-865;0;A;11/13/2014;8;Masculino;Topázio;8,1552;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;8,5;8,7;7,52;7,5;;7,4;7,3;7,5;;;;7,915;10;ALFA (1° e 2° ano);0;;;;
Aluno-866;2023;Escola Pública;Escola Pública;Escola Pública;RA-866;0;A;02/10/2016;7;Feminino;Ametista;7,679;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;8,3;8,76;7,5;;8,6;8,2;8,9;;;;8,415;10;ALFA (1° e 2° ano);0;;;;
Aluno-867;2023;Escola Pública;Escola Pública;Escola Pública;RA-867;0;A;6/29/2015;8;Masculino;Topázio;8,6992;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;8,6;8,76;7,5;;8,9;8,7;9;;;;8,415;10;ALFA (1° e 2° ano);0;;;;
Aluno-868;2023;Escola Pública;Escola Pública;Escola Pública;RA-868;0;A;11/08/2015;7;Masculino;Topázio;8,63895;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;10;9,5;8,76;7,1875;;7,1;7,8;6,3;;;;8,67;10;ALFA (1° e 2° ano);0;;;;
Aluno-869;2023;Escola Pública;Escola Pública;Escola Pública;RA-869;0;A;1/15/2015;8;Feminino;Topázio;9,2587;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;10;8,76;8,125;;9,6;9,8;9,4;;;;8,75;10;ALFA (1° e 2° ano);0;;;;
Aluno-870;2023;Escola Pública;Escola Pública;Escola Pública;RA-870;0;A;10/20/2014;9;Feminino;Quartzo;4,909;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;8,5;8,76;5;;1,5;2;1;;;;5,165;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-871;2023;Escola Pública;Escola Pública;Escola Pública;RA-871;0;B;6/21/2014;9;Masculino;Ágata;6,8617;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;9,5;3,76;4,375;;6,9;6,8;7;;;;6,84;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-872;2023;Escola Pública;Escola Pública;Escola Pública;RA-872;0;B;5/27/2013;10;Feminino;Quartzo;5,267;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;6,7;2,52;6,25;;4,3;5,5;3;;;;8,5;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-873;2023;Escola Pública;Escola Pública;Escola Pública;RA-873;0;B;03/01/2012;11;Feminino;Ametista;7,8012;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;8,5;9,7;7,52;6,25;;7;7,2;6,8;;;;8,67;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-874;2023;Escola Pública;Escola Pública;Escola Pública;RA-874;0;B;11/17/2013;9;Masculino;Quartzo;5,811;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;8,2;7,52;6,25;;4,8;6,3;3,3;;;;6,67;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-875;2023;Escola Pública;Escola Pública;Escola Pública;RA-875;0;B;4/26/2014;9;Masculino;Topázio;8,2712;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;9,5;7,52;7,5;;7,3;7;7,5;;;;9,845;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-876;2023;Escola Pública;Escola Pública;Escola Pública;RA-876;0;B;04/11/2015;8;Masculino;Topázio;8,6492;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;9,4;7,52;7,5;;7,5;7,3;7,7;;;;8,835;10;ALFA (1° e 2° ano);0;;;;
Aluno-877;2023;Escola Pública;Escola Pública;Escola Pública;RA-877;0;B;6/24/2014;9;Masculino;Ametista;7,4722;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;9,5;7,52;5;;6,9;7,5;6,2;;;;7,5;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-878;2023;Escola Pública;Escola Pública;Escola Pública;RA-878;0;B;7/22/2013;10;Masculino;Ágata;6,24;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;9,5;2,52;5;;8,1;8;8,2;;;;7,34;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-879;2023;Escola Pública;Escola Pública;Escola Pública;RA-879;0;B;03/05/2014;9;Feminino;Ágata;6,8225;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;9,8;2,52;6,875;;8,2;8,2;8,2;;;;8,915;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-880;2023;Escola Pública;Escola Pública;Escola Pública;RA-880;0;B;11/29/2015;7;Feminino;Ágata;6,724;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;9,4;2,52;6,25;;6,3;6,3;6,2;;;;8,585;10;ALFA (1° e 2° ano);0;;;;
Aluno-881;2023;Escola Pública;Escola Pública;Escola Pública;RA-881;0;B;4/23/2015;8;Masculino;Ametista;7,7322;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;8,9;7,52;5;;7,3;7,5;7;;;;6,25;10;ALFA (1° e 2° ano);0;;;;
Aluno-882;2023;Escola Pública;Escola Pública;Escola Pública;RA-882;0;C;6/15/2015;8;Feminino;Ágata;6,0092;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;9;8,6;2,52;3,75;;4,7;4,8;4,5;;;;4,16;10;ALFA (1° e 2° ano);0;;;;
Aluno-883;2023;Escola Pública;Escola Pública;Escola Pública;RA-883;0;C;02/11/2015;8;Feminino;Topázio;8,5082;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;9,5;9,7;6,89;6,25;;8,4;8;8,7;;;;8,17;10;ALFA (1° e 2° ano);0;;;;
Aluno-884;2023;Escola Pública;Escola Pública;Escola Pública;RA-884;0;C;12/02/2015;7;Feminino;Topázio;8,4587;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;9;9,7;4,39;6,875;;8,8;8,4;9,2;;;;8,66;10;ALFA (1° e 2° ano);0;;;;
Aluno-885;2023;Escola Pública;Escola Pública;Escola Pública;RA-885;0;C;10/30/2015;7;Masculino;Topázio;8,8252;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;9;9,8;7,52;7,5;;8,7;8,5;8,8;;;;8,665;10;ALFA (1° e 2° ano);0;;;;
Aluno-886;2023;Escola Pública;Escola Pública;Escola Pública;RA-886;0;C;01/05/2016;7;Feminino;Topázio;8,6422;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;8,5;9,4;7,52;7,5;;8,1;7,6;8,5;;;;9;10;ALFA (1° e 2° ano);0;;;;
Aluno-887;2023;Escola Pública;Escola Pública;Escola Pública;RA-887;0;C;10/16/2015;8;Masculino;Topázio;8,6718;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;8,9;8,9;7,52;7,5;;8,4;7,8;9;;;;9,09;10;ALFA (1° e 2° ano);0;;;;
Aluno-888;2023;Escola Pública;Escola Pública;Escola Pública;RA-888;0;C;04/11/2016;7;Masculino;Topázio;8,9182;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;9;10;7,52;7,5;;8,8;8,2;9,3;;;;8,83;10;ALFA (1° e 2° ano);0;;;;
Aluno-889;2023;Escola Pública;Escola Pública;Escola Pública;RA-889;0;C;07/07/2015;8;Masculino;Topázio;8,8092;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;8,5;9,5;6,89;7,5;;9,1;8,7;9,5;;;;9;10;ALFA (1° e 2° ano);0;;;;
Aluno-890;2023;Escola Pública;Escola Pública;Escola Pública;RA-890;0;C;2/26/2015;8;Masculino;Ágata;6,989;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;0;9,1;2,52;6,25;;8,3;8;8,6;;;;8,16;10;ALFA (1° e 2° ano);0;;;;
Aluno-891;2023;Escola Pública;Escola Pública;Escola Pública;RA-891;0;C;10/03/2014;9;Feminino;Ametista;7,8882;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-3;;;;;;9,5;9,5;6,89;7,5;;7,5;6,2;8,8;;;;7,995;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-684;2023;Privada;Escola Privada;Escola Privada;RA-684;0;D;1/15/2015;8;Masculino;Ametista;7,4277;QUEDA;QUEDA;OK;2022;;;Topázio;;8,26;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;8,1;7,52;6,875;;6,5;8,3;4,7;;;;5,84;10;ALFA (1° e 2° ano);0;;;;
Aluno-892;2023;Escola Pública;Escola Pública;Escola Pública;RA-892;0;D;1/16/2015;8;Masculino;Topázio;8,8112;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;8;9,6;6,89;7,5;;8,3;8,5;8;;;;10,01;10;ALFA (1° e 2° ano);0;;;;
Aluno-857;2023;Escola Pública;Escola Pública;Escola Pública;RA-857;0;D;11/21/2013;9;Feminino;Topázio;8,1442;MANTIDO;MANTIDO;OK;2022;;;Topázio;;8,154;;;;;2;Avaliador-13;;Avaliador-3;;;;;;8,5;9;7,52;7,5;;8,5;8,7;8,2;;;;9,01;5;Fase 1 (3° e 4° ano);-1;;;;
