NOME;ANO;INSTITUICAO_ENSINO_ALUNO;FASE;TURMA;IDADE_ALUNO;GÊNERO;PEDRA;INDE;IAA;IEG;IPS;IPP;IDA;IPV;IAN
Aluno-1;2022;Escola Pública;7;A;19;Menina;Quartzo;5,783;8,3;4,1;5,6;7,97;4;7,278;5
Aluno-10;2022;Escola Pública;7;A;18;Menina;Quartzo;5,784;8,3;5,2;5;6,72;4,1;7,056;5
Aluno-100;2022;Escola Privada;4;A;13;Menina;Ametista;7,618;8,8;7,8;5;6,67;7,6;7,25;10
Aluno-101;2022;Escola Pública;4;A;15;Menina;Ametista;7,305;7,9;8,3;7,5;6,04;7,6;6,833;5
Aluno-102;2022;Escola Pública;4;A;14;Menino;Ágata;6,922;6,7;7,7;6,9;6,88;5,7;6;10
Aluno-103;2022;Escola Privada;4;A;13;Menina;Topázio;8,107;7,9;8,7;7,5;8,44;7,3;7,708;10
Aluno-104;2022;Escola Pública;4;A;18;Menino;Ágata;6,315;7,9;8,7;7,5;6,04;3,7;6,708;2,5
Aluno-105;2022;Escola Privada;4;A;17;Menino;Ágata;6,846;7,9;8,2;5,6;6,04;6,7;7,417;2,5
Aluno-106;2022;Escola Privada;4;A;15;Menina;Ametista;7,973;9,2;8;9,4;8,59;7,4;8,375;5
Aluno-107;2022;Escola Pública;4;A;15;Menina;Ágata;6,258;7,5;6,4;7,5;7,97;4,6;6,5;5
Aluno-108;2022;Escola Pública;4;A;17;Menina;Quartzo;5,547;4,6;7,7;5;7,03;5;6,125;2,5
Aluno-109;2022;Escola Privada;4;A;16;Menino;Topázio;8,512;8,8;10;8,8;5,94;8,4;8,667;5
Aluno-11;2022;Escola Pública;7;A;18;Menina;Quartzo;5,323;9,2;4,2;5;7,03;3;6,389;5
Aluno-110;2022;Escola Privada;4;A;14;Menino;Topázio;8,15;9,2;9,7;5,6;5,62;6,7;8;10
Aluno-111;2022;Escola Privada;4;A;13;Menina;Topázio;8,646;7,5;9,4;8,1;5,94;8;8,667;10
Aluno-112;2022;Escola Privada;4;A;15;Menina;Ametista;7,836;7,9;7,8;6,3;6,67;8,5;8,833;5
Aluno-113;2022;Escola Privada;4;A;15;Menina;Quartzo;3,032;0;0;5;5,31;3,7;3,792;5
Aluno-114;2022;Escola Pública;4;A;16;Menino;Quartzo;5,894;7,9;6,3;7,5;6,46;5,3;5;5
Aluno-115;2022;Escola Pública;4;A;16;Menina;Quartzo;5,886;8,3;6,8;6,3;5,47;3,8;5,583;5
Aluno-116;2022;Escola Pública;4;B;16;Menina;Ágata;6,854;5,8;8,1;6,3;7,66;5,9;7,792;5
Aluno-117;2022;Escola Pública;4;B;15;Menina;Ágata;6,685;7,9;6,3;6,9;7,5;6,1;7,417;5
Aluno-118;2022;Escola Pública;4;B;14;Menina;Quartzo;5,597;0;5,3;6,3;7,34;3,9;6,958;10
Aluno-119;2022;Escola Privada;4;B;14;Menina;Ametista;7,501;8,3;8,2;5,6;7,5;5,4;7,875;10
Aluno-12;2022;Escola Pública;7;A;17;Menina;Quartzo;4,832;0;4;6,9;7,66;1,5;6,389;10
Aluno-120;2022;Escola Pública;4;B;15;Menino;Ágata;6,825;8,3;5,9;7,5;4,69;6,2;7,667;5
Aluno-121;2022;Escola Pública;4;B;16;Menina;Ametista;7,245;7,1;8,4;6,3;7,81;7,2;7,625;5
Aluno-122;2022;Escola Pública;4;B;14;Menina;Quartzo;5,061;7,9;3,4;7,5;6,25;1,8;4,958;10
Aluno-123;2022;Escola Privada;4;B;16;Menino;Ametista;7,084;7,9;8,6;5,6;7,5;6,5;7,292;5
Aluno-124;2022;Escola Privada;4;B;14;Menino;Ametista;7,388;7,9;7,8;5;4,06;6,7;7,167;10
Aluno-125;2022;Escola Pública;4;B;15;Menina;Ametista;7,619;8,8;8,5;7,5;6,04;7,1;7,75;5
Aluno-126;2022;Escola Pública;4;B;15;Menino;Ágata;6,289;7,1;5,8;7,5;6,25;4,4;7,417;5
Aluno-127;2022;Escola Pública;4;B;14;Menina;Topázio;8,283;7,5;8,7;7,5;6,46;7,9;8,125;10
Aluno-128;2022;Escola Pública;4;B;15;Menino;Quartzo;5,563;0;6,2;7,5;7,34;5,6;6,167;5
Aluno-129;2022;Escola Pública;4;B;15;Menino;Ágata;6,926;6,7;6,4;7,5;5,31;6,7;7,792;5
Aluno-13;2022;Escola Pública;7;A;18;Menino;Ágata;6,902;7,9;7,4;7,5;4,69;4,7;8,056;5
Aluno-130;2022;Escola Pública;4;F;16;Menina;Quartzo;5,624;8,3;4,7;5;7,19;4,1;6,5;5
Aluno-131;2022;Escola Pública;4;F;15;Menina;Ametista;7,174;8,8;9;5,6;7,34;5,6;7,75;5
Aluno-132;2022;Escola Privada;4;F;14;Menina;Topázio;8,355;10;8,8;5,6;8,12;7,7;8,458;10
Aluno-133;2022;Escola Pública;4;F;15;Menina;Ágata;6,875;7,9;7,1;7,5;7,66;5,6;7,625;5
Aluno-134;2022;Escola Pública;4;F;15;Menina;Ágata;6,607;8,8;6,8;7,5;5,62;4,7;7,375;5
Aluno-135;2022;Escola Pública;4;F;15;Menina;Ametista;7,692;8,3;7,8;5,6;8,12;8,6;8,583;5
Aluno-136;2022;Escola Pública;4;F;15;Menino;Ágata;6,478;10;6,3;7,5;7,03;4,6;6,667;5
Aluno-137;2022;Escola Privada;4;F;17;Menina;Ametista;7,056;7,5;8,9;5;7,66;7,3;7,792;2,5
Aluno-138;2022;Escola Pública;4;F;15;Menino;Ágata;6,738;9,6;8;5,6;6,04;5,6;6,375;5
Aluno-139;2022;Escola Pública;4;F;17;Menino;Quartzo;3,738;7,1;3,5;5;5;1,4;3,917;2,5
Aluno-14;2022;Escola Pública;7;D;21;Menino;Ágata;6,793;7,9;8,3;7,5;7,34;4;7,75;5
Aluno-140;2022;Escola Pública;4;F;14;Menina;Ametista;7,407;7,9;7,6;6,9;5,94;5,7;7,667;10
Aluno-141;2022;Escola Pública;4;F;14;Menino;Ametista;7,118;9,2;8,2;5,6;8,75;5,7;5,917;10
Aluno-142;2022;Escola Pública;4;F;14;Menina;Ametista;7,457;6,7;8,6;5,6;5,62;6,3;7,583;10
Aluno-143;2022;Escola Privada;4;F;13;Menino;Topázio;8,638;8,3;9,9;5,6;8,28;7,9;9,5;10
Aluno-144;2022;Escola Privada;4;F;14;Menina;Topázio;8,181;7,5;9,3;5;6,88;7,9;8,292;10
Aluno-145;2022;Escola Pública;4;H;16;Menino;Quartzo;5,846;0;6,3;8,1;7,97;5,2;7,25;5
Aluno-146;2022;Escola Pública;4;H;15;Menina;Ametista;7,947;8,3;9,2;7,5;3,12;7,9;8,208;5
Aluno-147;2022;Escola Pública;4;H;14;Menina;Ametista;7,541;8,3;7,7;7,5;5,62;6,1;7,25;10
Aluno-148;2022;Escola Pública;4;H;14;Menino;Ametista;7,894;9,2;7,9;10;7,81;5,3;7,708;10
Aluno-149;2022;Escola Pública;4;H;15;Menina;Ágata;6,323;9,2;6,5;7,5;7,03;5;6,125;5
Aluno-15;2022;Escola Pública;7;D;18;Menino;Ametista;7,783;8,8;10;7,5;6,56;7,3;7,292;5
Aluno-150;2022;Escola Pública;4;H;16;Menina;Ágata;6,962;9,6;6,3;6,9;8,12;6,9;7,333;5
Aluno-151;2022;Escola Pública;4;H;16;Menina;Ametista;7,563;8,8;7,5;6,9;6,25;8,3;7,958;5
Aluno-152;2022;Escola Pública;4;L;16;Menina;Ágata;6,712;8,3;7;7,5;6,72;6,5;6,292;5
Aluno-153;2022;Escola Privada;4;L;14;Menina;Ametista;7,535;7,9;8,2;5;8,28;6,6;7,708;10
Aluno-154;2022;Escola Pública;4;L;15;Menino;Ágata;6,073;8,3;6,1;6,3;7,34;4;6,833;5
Aluno-155;2022;Escola Pública;4;L;16;Menino;Ametista;7,051;10;8,3;7,5;7,5;5,2;6,833;5
